destination,baseline_stage,baseline_percentile,adjusted_probability,bootstrap_lower,bootstrap_upper,eligible_contestants,events,bootstrap_replicates
APMO,EMIC,0.3,0.06746437221427537,0.02693620373232609,0.11159174899671402,1062,86,80
APMO,EMIC,0.31387755102040815,0.06448382995555715,0.027189855927200798,0.10428210434606343,1062,86,80
APMO,EMIC,0.3277551020408163,0.061814652994093146,0.027487052413815296,0.09773450957450532,1062,86,80
APMO,EMIC,0.3416326530612245,0.059431733485378224,0.02782897038854894,0.09186675158702941,1062,86,80
APMO,EMIC,0.35551020408163264,0.057312781015659356,0.02750150468670855,0.08659037565744519,1062,86,80
APMO,EMIC,0.3693877551020408,0.05543809615343402,0.02662677331218613,0.08188449131464717,1062,86,80
APMO,EMIC,0.38326530612244897,0.053790363417516064,0.02588205421568227,0.07740508773436977,1062,86,80
APMO,EMIC,0.39714285714285713,0.05235446419726645,0.025258274204851522,0.07291220213404886,1062,86,80
APMO,EMIC,0.4110204081632653,0.05111730968702121,0.02474792216852211,0.0693306044732549,1062,86,80
APMO,EMIC,0.42489795918367346,0.050067693579804826,0.024344914755283185,0.06784791301652734,1062,86,80
APMO,EMIC,0.43877551020408156,0.04919616406942298,0.024044487761902475,0.06535323918561084,1062,86,80
APMO,EMIC,0.4526530612244898,0.048494914606775394,0.02384311121292213,0.06318448049977803,1062,86,80
APMO,EMIC,0.4665306122448979,0.04795769282351048,0.02373842651524888,0.061317830359936175,1062,86,80
APMO,EMIC,0.4804081632653061,0.04757972705652743,0.02372920447059143,0.060262982305880446,1062,86,80
APMO,EMIC,0.4942857142857142,0.04735766996664414,0.023815323322203697,0.059654855913766965,1062,86,80
APMO,EMIC,0.5081632653061224,0.04728955883324192,0.02398114013396837,0.05925826065142287,1062,86,80
APMO,EMIC,0.5220408163265305,0.04737479221533138,0.024242098084042353,0.05906058742714079,1062,86,80
APMO,EMIC,0.5359183673469388,0.04761412279134339,0.02460501492629089,0.05906250627503245,1062,86,80
APMO,EMIC,0.5497959183673469,0.04800966631921567,0.02473636782301786,0.05927141420113704,1062,86,80
APMO,EMIC,0.563673469387755,0.04856492678982968,0.024274109886771596,0.05968930547959566,1062,86,80
APMO,EMIC,0.5775510204081632,0.04928483797555779,0.023973686587953517,0.060846192163857164,1062,86,80
APMO,EMIC,0.5914285714285714,0.05017582169636809,0.023829534405132184,0.06268299260968584,1062,86,80
APMO,EMIC,0.6053061224489795,0.05124586323268945,0.02383897954656162,0.06430874589559121,1062,86,80
APMO,EMIC,0.6191836734693876,0.05250460439998889,0.02400216414434168,0.06631203174758357,1062,86,80
APMO,EMIC,0.6330612244897958,0.053963454856007564,0.024339348785940018,0.06849358519111175,1062,86,80
APMO,EMIC,0.6469387755102041,0.05563572222679899,0.025566126251899565,0.07086532170471217,1062,86,80
APMO,EMIC,0.6608163265306122,0.0575367615980664,0.02718233358730913,0.07342221867791665,1062,86,80
APMO,EMIC,0.6746938775510203,0.05968414480589432,0.028979535657389397,0.07619199806707472,1062,86,80
APMO,EMIC,0.6885714285714285,0.06209784975300168,0.030978412730893596,0.07940793511897322,1062,86,80
APMO,EMIC,0.7024489795918367,0.06480046964414464,0.033202338940368,0.08287280286228428,1062,86,80
APMO,EMIC,0.7163265306122448,0.06781744154066308,0.03567770666029357,0.08630532653202595,1062,86,80
APMO,EMIC,0.7302040816326529,0.07117729293340985,0.03843428279152365,0.09012074752298331,1062,86,80
APMO,EMIC,0.7440816326530612,0.07491190406815555,0.04150559646112298,0.09435188343154073,1062,86,80
APMO,EMIC,0.7579591836734694,0.07905678245752183,0.04492935618058648,0.09903518640117348,1062,86,80
APMO,EMIC,0.7718367346938775,0.0836513442932517,0.04874789250459507,0.10421099919621109,1062,86,80
