combined_id,name_clean,name_last_first,country_clean,contest,year,official_name,official_name_last_first,official_country,official_country_code,official_person_id,score,medal,rank_start,rank_end,rank_average,percentile,total_participants,match_method,source_url
2755,Pachara Sawettamalya,"Sawettamalya, Pachara",Thailand,IMO,2016,Pachara Sawettamalya,"Sawettamalya, Pachara",Thailand,THA,25943,30,Gold,35,40,37.5,0.9377076412,602,same_country_exact,https://www.imo-official.org/results/individual/year/2016/
2759,Kiattipoom Sicharoen,"Sicharoen, Kiattipoom",Thailand,IMO,2024,Kiattipoom Sicharoen,"Sicharoen, Kiattipoom",Thailand,THA,34284,15,Honourable Mention,327,365,346,0.4318555008,609,same_country_exact,https://www.imo-official.org/results/individual/year/2024/
2759,Kiattipoom Sicharoen,"Sicharoen, Kiattipoom",Thailand,IMO,2025,Kiattipoom Sicharoen,"Sicharoen, Kiattipoom",Thailand,THA,34284,24,Bronze,214,228,221,0.6492063492,630,same_country_exact,https://www.imo-official.org/results/individual/year/2025/
2759,Kiattipoom Sicharoen,"Sicharoen, Kiattipoom",Thailand,IMO,2026,Kiattipoom Sicharoen,"Sicharoen, Kiattipoom",Thailand,THA,34284,18,Bronze,263,282,272.5,0.5908408408,666,same_country_exact,https://www.imo-official.org/results/individual/year/2026/
2761,Nitiwit Sirimaraisuwan,"Sirimaraisuwan, Nitiwit",Thailand,IMO,2023,Nitiwit Sirimalaisuwan,"Sirimalaisuwan, Nitiwit",Thailand,THA,33593,27,Silver,119,127,123,0.8009708738,618,reviewed_alias,https://www.imo-official.org/results/individual/year/2023/
2769,Thana Somsirivattana,"Somsirivattana, Thana",Thailand,IMO,2018,Thana Somsirivattana,"Somsirivattana, Thana",Thailand,THA,28199,25,Silver,131,146,138.5,0.7668350168,594,same_country_exact,https://www.imo-official.org/results/individual/year/2018/
2769,Thana Somsirivattana,"Somsirivattana, Thana",Thailand,IMO,2019,Thana Somsirivattana,"Somsirivattana, Thana",Thailand,THA,28199,28,Silver,65,100,82.5,0.8671497585,621,same_country_exact,https://www.imo-official.org/results/individual/year/2019/
2774,Pipitchaya Sridam,"Sridam, Pipitchaya",Thailand,IMO,2021,Pipitchaya Sridam,"Sridam, Pipitchaya",Thailand,THA,31065,24,Gold,48,52,50,0.9192245557,619,same_country_exact,https://www.imo-official.org/results/individual/year/2021/
2782,Chatchanun Suriyaammaranon,"Suriyaammaranon, Chatchanun",Thailand,IMO,2018,Chatchanun Suriyaammaranon,"Suriyaammaranon, Chatchanun",Thailand,THA,28200,28,Silver,87,110,98.5,0.8341750842,594,same_country_exact,https://www.imo-official.org/results/individual/year/2018/
2792,Kornchawan Tantivisethsak,"Tantivisethsak, Kornchawan",Thailand,IMO,2025,Kornchawan Tantivisethsak,"Tantivisethsak, Kornchawan",Thailand,THA,35298,17,Honourable Mention,334,345,339.5,0.4611111111,630,same_country_exact,https://www.imo-official.org/results/individual/year/2025/
2801,Natanon Therdpraisan,"Therdpraisan, Natanon",Thailand,IMO,2019,Natanon Therdpraisan,"Therdpraisan, Natanon",Thailand,THA,28932,28,Silver,65,100,82.5,0.8671497585,621,same_country_exact,https://www.imo-official.org/results/individual/year/2019/
2801,Natanon Therdpraisan,"Therdpraisan, Natanon",Thailand,IMO,2020,Natanon Therdpraisan,"Therdpraisan, Natanon",Thailand,THA,28932,28,Silver,86,113,99.5,0.838474026,616,same_country_exact,https://www.imo-official.org/results/individual/year/2020/
2803,Sarunyu Thongjarast,"Thongjarast, Sarunyu",Thailand,IMO,2021,Sarunyu Thongjarast,"Thongjarast, Sarunyu",Thailand,THA,31066,15,Bronze,180,217,198.5,0.6793214863,619,same_country_exact,https://www.imo-official.org/results/individual/year/2021/
2803,Sarunyu Thongjarast,"Thongjarast, Sarunyu",Thailand,IMO,2022,Sarunyu Thongjarast,"Thongjarast, Sarunyu",Thailand,THA,31066,35,Gold,32,37,34.5,0.941426146,589,same_country_exact,https://www.imo-official.org/results/individual/year/2022/
2819,Treetased Vividhwara,"Vividhwara, Treetased",Thailand,IMO,2016,Treetased Vividhwara,"Vividhwara, Treetased",Thailand,THA,26721,15,Honourable Mention,281,311,296,0.5083056478,602,same_country_exact,https://www.imo-official.org/results/individual/year/2016/
2819,Treetased Vividhwara,"Vividhwara, Treetased",Thailand,IMO,2017,Treetased Vividhwara,"Vividhwara, Treetased",Thailand,THA,26721,14,Honourable Mention,342,389,365.5,0.4056910569,615,same_country_exact,https://www.imo-official.org/results/individual/year/2017/
2830,Aekkawin Wisitkiatchai,"Wisitkiatchai, Aekkawin",Thailand,IMO,2024,Aekkawin Wisitkiatchai,"Wisitkiatchai, Aekkawin",Thailand,THA,34285,17,Bronze,252,282,267,0.5615763547,609,same_country_exact,https://www.imo-official.org/results/individual/year/2024/
2830,Aekkawin Wisitkiatchai,"Wisitkiatchai, Aekkawin",Thailand,IMO,2026,Aekkawin Wisitkiatchai,"Wisitkiatchai, Aekkawin",Thailand,THA,34285,16,Bronze,314,349,331.5,0.5022522523,666,same_country_exact,https://www.imo-official.org/results/individual/year/2026/
2841,Yolrada Yongpisanpob,"Yongpisanpob, Yolrada",Thailand,IMO,2018,Yolrada Yongpisanpob,"Yongpisanpob, Yolrada",Thailand,THA,28202,34,Gold,19,23,21,0.9646464646,594,same_country_exact,https://www.imo-official.org/results/individual/year/2018/
2861,Ziana Singh,"Singh, Ziana",United Arab Emirates,IMO,2025,Ziana Singh,"Singh, Ziana",United Arab Emirates,UAE,35555,5,None,510,525,517.5,0.1785714286,630,same_country_exact,https://www.imo-official.org/results/individual/year/2025/
2861,Ziana Singh,"Singh, Ziana",United Arab Emirates,IMO,2026,Ziana Singh,"Singh, Ziana",United Arab Emirates,UAE,35555,15,Honourable Mention,350,387,368.5,0.4466966967,666,same_country_exact,https://www.imo-official.org/results/individual/year/2026/
2903,Royce Yao,"Yao, Royce",United States of America,IMO,2026,Royce Yao,"Yao, Royce",United States of America,USA,35997,37,Gold,13,13,13,0.9804804805,666,same_country_exact,https://www.imo-official.org/results/individual/year/2026/
2907,Ozod Akhtamov,"Akhtamov, Ozod",Uzbekistan,IMO,2023,Ozodbek Akhtamov,"Akhtamov, Ozodbek",Uzbekistan,UZB,33400,23,Bronze,183,219,201,0.6747572816,618,reviewed_alias,https://www.imo-official.org/results/individual/year/2023/
2907,Ozod Akhtamov,"Akhtamov, Ozod",Uzbekistan,IMO,2024,Ozodbek Akhtamov,"Akhtamov, Ozodbek",Uzbekistan,UZB,33400,21,Bronze,182,215,198.5,0.6740558292,609,reviewed_alias,https://www.imo-official.org/results/individual/year/2024/
2907,Ozod Akhtamov,"Akhtamov, Ozod",Uzbekistan,IMO,2025,Ozodbek Akhtamov,"Akhtamov, Ozodbek",Uzbekistan,UZB,33400,22,Bronze,243,271,257,0.5920634921,630,reviewed_alias,https://www.imo-official.org/results/individual/year/2025/
2911,Asadbek Boboqulov,"Boboqulov, Asadbek",Uzbekistan,IMO,2024,Asadbek Bobokulov,"Bobokulov, Asadbek",Uzbekistan,UZB,34102,3,None,533,550,541.5,0.1108374384,609,reviewed_alias,https://www.imo-official.org/results/individual/year/2024/
2911,Asadbek Boboqulov,"Boboqulov, Asadbek",Uzbekistan,IMO,2025,Asadbek Bobokulov,"Bobokulov, Asadbek",Uzbekistan,UZB,34102,29,Silver,119,147,133,0.7888888889,630,reviewed_alias,https://www.imo-official.org/results/individual/year/2025/
2913,Iskandar Buriev,"Buriev, Iskandar",Uzbekistan,IMO,2021,Iskandar Buriev,"Buriev, Iskandar",Uzbekistan,UZB,30948,2,None,470,498,484,0.2180936995,619,same_country_exact,https://www.imo-official.org/results/individual/year/2021/
2913,Iskandar Buriev,"Buriev, Iskandar",Uzbekistan,IMO,2022,Iskandar Buriev,"Buriev, Iskandar",Uzbekistan,UZB,30948,20,Honourable Mention,314,327,320.5,0.4558573854,589,same_country_exact,https://www.imo-official.org/results/individual/year/2022/
2920,Jasurbek Imomov,"Imomov, Jasurbek",Uzbekistan,IMO,2018,Jasurbek Imomov,"Imomov, Jasurbek",Uzbekistan,UZB,28152,9,Honourable Mention,391,412,401.5,0.3240740741,594,same_country_exact,https://www.imo-official.org/results/individual/year/2018/
2920,Jasurbek Imomov,"Imomov, Jasurbek",Uzbekistan,IMO,2019,Jasurbek Imomov,"Imomov, Jasurbek",Uzbekistan,UZB,28152,22,Bronze,168,213,190.5,0.693236715,621,same_country_exact,https://www.imo-official.org/results/individual/year/2019/
