year,medal,medal_bucket_size,rank_start,rank_end,rank_average,percentile,first_country,last_country,country_sequence
2014,Bronze,30,90,119,104.5,0.6764705882,Bulgaria,Vietnam,Bulgaria;Bulgaria;Hong Kong;Hong Kong;India;Indonesia;Indonesia;Indonesia;Indonesia;Islamic Republic of Iran;Islamic Republic of Iran;Kazakhstan;Republic of Korea;Republic of Korea;Republic of Korea;Macau;Malaysia;Mongolia;Nepal;Philippines;Philippines;Taiwan;Taiwan;Thailand;Thailand;Thailand;Vietnam;Vietnam;Vietnam;Vietnam
2014,Merit,31,120,150,135,0.5820433437,Bulgaria,Vietnam,Bulgaria;Bulgaria;Bulgaria;Bulgaria;Canada;People's Republic of China;People's Republic of China;Cyprus;Hong Kong;Hong Kong;Hong Kong;Indonesia;Islamic Republic of Iran;Islamic Republic of Iran;Republic of Korea;Republic of Korea;Republic of Korea;Republic of Korea;Republic of Korea;Malaysia;Malaysia;Mongolia;Philippines;Philippines;Philippines;Taiwan;Taiwan;Thailand;Thailand;Uzbekistan;Vietnam
2014,Merit,28,151,178,164.5,0.4907120743,Bulgaria,Thailand,Bulgaria;Bulgaria;People's Republic of China;Hong Kong;Indonesia;Islamic Republic of Iran;Kazakhstan;Republic of Korea;Republic of Korea;Republic of Korea;Republic of Korea;Republic of Korea;Republic of Korea;Republic of Korea;Macau;Malaysia;Malaysia;Mongolia;Philippines;Philippines;Philippines;Philippines;South Africa;Sri Lanka;Sri Lanka;Sri Lanka;Taiwan;Thailand
2014,Merit,14,179,192,185.5,0.4256965944,Canada,Uzbekistan,Canada;Canada;Indonesia;Kazakhstan;Kazakhstan;Republic of Korea;Republic of Korea;Republic of Korea;Republic of Korea;Philippines;Sri Lanka;Taiwan;Taiwan;Uzbekistan
2015,Gold,4,1,4,2.5,0.9918831169,Malaysia,Vietnam,Malaysia;Singapore;Thailand;Vietnam
2015,Gold,2,5,6,5.5,0.9821428571,Bulgaria,Thailand,Bulgaria;Thailand
2015,Gold,7,7,13,10,0.9675324675,Macau,Taiwan,Macau;Philippines;Singapore;Singapore;Taiwan;Taiwan;Taiwan
2015,Gold,13,14,26,20,0.9350649351,People's Republic of China,Vietnam,People's Republic of China;People's Republic of China;Hong Kong;Hong Kong;Hong Kong;Indonesia;Mongolia;Mongolia;Philippines;Philippines;Sri Lanka;Thailand;Vietnam
2015,Silver,14,27,40,33.5,0.8912337662,Bulgaria,Vietnam,Bulgaria;Bulgaria;People's Republic of China;Hong Kong;Philippines;Philippines;Philippines;Taiwan;Taiwan;Taiwan;Thailand;Vietnam;Vietnam;Vietnam
2015,Silver,35,41,75,58,0.8116883117,Bulgaria,Vietnam,Bulgaria;Bulgaria;Bulgaria;Bulgaria;Bulgaria;People's Republic of China;People's Republic of China;People's Republic of China;People's Republic of China;Hong Kong;Indonesia;Islamic Republic of Iran;Kazakhstan;Macau;Mongolia;Mongolia;Mongolia;Philippines;Philippines;Romania;Sri Lanka;Taiwan;Taiwan;Taiwan;Taiwan;Thailand;Thailand;Thailand;Thailand;Uzbekistan;Uzbekistan;Vietnam;Vietnam;Vietnam;Vietnam
